"cod_formato_dre","formato_dre","planocontas","grupocontas","codfilial","operacao","data","valor","subtotal"
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-27,3120,0
1,Receita Operacional Bruta                                                                           ,"107 - OUTROS FATURAMENTOS","101 - VENDA FATURADA",,,,,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-30,61813.880000000005,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-19,6328.46,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-10,20720.74,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-05,125.5,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-25,45542.33,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-16,1311.6000000000001,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-04,1174.94,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-11,20378.5,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-27,10904.72,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-30,10267.53,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-24,36653,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-18,635.0600000000001,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-11,10389.66,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-20,8869.28,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-16,1691.8500000000001,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-24,2562.1,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-19,150212.25,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-25,570.1800000000001,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-11,4672.1,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-17,44238.3,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-09,525,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-31,101.9,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-18,11748.72,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-25,10916,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-16,422.75,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-17,1911.64,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-26,5201.7,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-26,484.68,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-20,14387.93,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-02,348.72,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-12,6850.95,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-26,143.8,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-30,4405.150000000001,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-12,4711.2300000000005,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-12,241.69,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-27,4348.8,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-04,20413.63,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-27,24110.77,0
1,Receita Operacional Bruta                                                                           ,"101 - VENDA FATURADA","101 - VENDA FATURADA","51",VENDAS,2023-01-09,1584.73,0
