"codconta";"codloja";"dtbaixa";"compt";"valor";"detalhe"
"00003";"02";2024-04-23;2024-04-23;12.60;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;47.24;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;2075.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;23.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;29.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;323.40;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;241.99;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;9.99;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;2265.38;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;150.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;44.99;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;34.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;33.99;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;6.50;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;408.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;390.49;VENDAS                                                                                                                  
"00009";"00";2024-04-23;2024-04-23;841.15;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;35.00;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;30.44;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;35.68;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;26.00;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;47.24;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;350.43;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;100.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;60.00;VENDAS                                                                                                                  
"00011";"02";2024-04-23;2024-04-23;9.82;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;4.50;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;17.17;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;23.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;64.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;27.45;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;204.80;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;37.00;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;29.40;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;43.45;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;1715.06;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;250.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;208.95;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;3.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;32.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;370.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;153.00;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;104.88;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;37.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;89.98;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;11.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;7.75;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;62.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;95.26;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;363.02;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;260.66;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;33.87;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;97.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;155.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;20.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;155.00;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;1260.24;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;246.27;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;368.53;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;351.92;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;9.90;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;839.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;67.50;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;7.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;16.00;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;21.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;49.97;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;480.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;66.00;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;96.11;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;1666.12;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;3346.95;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;118.50;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;2550.75;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;39.90;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;43.99;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;83.97;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;172.95;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;44.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;54.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;1.49;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;33.00;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;10.75;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;964.42;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;34.64;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;1460.31;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;119.13;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;4.39;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;131.97;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;44.99;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;140.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;5395.50;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;15.64;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;130.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;50.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;86.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;33.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;2.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;32.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;591.67;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;149.90;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;259.00;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;39.89;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;22.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;53.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;30.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;32.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;47.30;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;37.57;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;3.19;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;89.98;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;20.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;0.11;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;9.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;57.75;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;4.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;64.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;250.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;42.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;14.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;17.67;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;20.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;25.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;8.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;904.58;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;7.60;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;5.49;VENDAS                                                                                                                  
